"No.","Time","Source","Destination","Protocol","Length","Info"
"287","2.548740000","Cisco_c8:aa:cf","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 38  Port = 0x800f"
"288","2.557323000","Cisco_c8:aa:cf","Cisco_c8:aa:cf","LOOP","60","Reply"
"289","2.630358000","fe80::f68e:38ff:fe87:410e","ff02::1:ff87:410e","ICMPv6","86","Multicast Listener Report"
"290","2.636998000","fe80::225:90ff:fea4:a5ed","ff02::1:ffa4:a5ed","ICMPv6","86","Multicast Listener Report"
"291","2.656113000","fe80::5938:7adf:4c9e:5121","ff02::1:ff9e:5121","ICMPv6","86","Multicast Listener Report"
"292","2.704665000","10.10.11.170","255.255.255.255","DHCP","342","DHCP Inform   - Transaction ID 0x785fc008"
"293","2.705581000","192.168.0.1","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x785fc008"
"294","2.705744000","10.10.19.200","255.255.255.255","DHCP","590","DHCP ACK      - Transaction ID 0x785fc008"
"295","2.706543000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.15.95"
"296","2.706549000","Dell_fd:b1:45","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.15.95"
"297","2.707967000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.13.114"
"298","2.708302000","IntelCor_cb:a0:20","Broadcast","ARP","60","Who has 10.10.19.200?  Tell 10.10.13.114"
"299","2.736204000","10.10.12.116","10.10.15.255","NBNS","92","Name query NB MPLAB04<20>"
"300","2.746655000","fe80::125c:c2c1:2e6c:f759","ff02::1:ff6c:f759","ICMPv6","86","Multicast Listener Report"
"301","2.754670000","74:40:bb:36:b5:d5","Broadcast","ARP","60","Who has 10.10.15.128?  Tell 10.10.14.86"
"302","2.824902000","fe80::1402:2fc:faab:f23d","ff02::2:ff37:fd1f","ICMPv6","86","Multicast Listener Report"
"303","2.827112000","fe80::7a45:c4ff:fe29:a7d","ff02::1:ff29:a7d","ICMPv6","86","Multicast Listener Report"
"304","2.884156000","10.10.13.201","224.0.0.251","MDNS","1154","Standard query response 0x0000  TXT, cache flush PTR EPSON EPL-6200L @ linux-13._printer._tcp.local SRV, cache flush 0 0 0 linux-16.local TXT, cache flush PTR _printer._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local SRV, cache flush 0 0 631 linux-16.local TXT, cache flush PTR _ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipps._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local SRV, cache flush 0 0 631 linux-16.local PTR _ipp._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local PTR EPSON EPL-6200L @ linux-13._ipp._tcp.local"
"305","2.927005000","fe80::f24d:a2ff:fe23:b97d","ff02::1:ff23:b97d","ICMPv6","86","Multicast Listener Report"
"306","2.956689000","fe80::84bd:4f03:d16d:7571","ff02::1:ff6d:7571","ICMPv6","86","Multicast Listener Report"
"307","2.957215000","fe80::388b:2843:6587:4f1b","ff02::1:ff87:4f1b","ICMPv6","86","Multicast Listener Report"
"308","2.964060000","Dell_27:89:2c","Broadcast","ARP","60","Who has 169.254.32.224?  Tell 10.10.13.188"
"309","2.991293000","47.74.170.156","10.10.13.46","TCP","78","[TCP Retransmission] xmpp-client > 48590 [PSH, ACK] Seq=1 Ack=1 Win=105 Len=12 TSval=341833507 TSecr=10160046"
"310","3.001925000","10.10.15.34","10.10.15.255","NBNS","92","Name query NB VLSI01<20>"
"311","3.006775000","fe80::d204:1ff:fea4:ce0e","ff02::1:ffa4:ce0e","ICMPv6","86","Multicast Listener Report"
"312","3.029321000","fe80::ce61:e5ff:fe26:65c9","ff02::fb","ICMPv6","86","Multicast Listener Report"
"313","3.031418000","fe80::c60b:cbff:fe57:8473","ff02::1:ff00:0","ICMPv6","86","Multicast Listener Report"
"314","3.111456000","fe80::21e1:a200:ff2e:5b58","ff02::c","SSDP","208","M-SEARCH * HTTP/1.1 "
"315","3.152063000","fe80::c6b9:cdff:fe31:9e11","ff02::1:ff31:9e11","ICMPv6","86","Multicast Listener Report"
"316","3.181646000","fe80::6600:6aff:fe8c:ceff","ff02::1:ff8c:ceff","ICMPv6","86","Multicast Listener Report"
"317","3.183944000","Private_10:03:a9","Broadcast","ARP","60","Who has 10.10.10.0?  Tell 10.10.10.201"
"318","3.248162000","fe80::726d:ecff:fe02:1eb","ff02::2","ICMPv6","86","Multicast Listener Report"
"319","3.278341000","fe80::b283:feff:fe82:8fa9","ff02::1:ff82:8fa9","ICMPv6","86","Multicast Listener Report"
"320","3.278938000","fe80::726d:ecff:fe02:21b","ff02::2","ICMPv6","86","Multicast Listener Report"
"321","3.330900000","192.168.0.1","224.0.0.1","IGMPv2","64","Membership Query, general"
